"","Species","DemersPelag","Length","Comments"
"73","Monotaxis grandoculus",NA,NA,NA
"74","Parupeneus heptacanthus","reef-associated",36,"Occurs singly or in small groups, over muddy, sandy, rubble, or seagrass bottoms of lagoon and seaward reefs, usually below 20 m.  Flesh is fairly good for human consumption (Ref. 6023, 41878)."
"75","Cetoscarus bicolor","reef-associated",50,"Benthic grazer of algae (Ref. 3488).  Caught with nets and other types of artisanal gear."
"76","Thalassoma hebraicum","reef-associated",23,"Occurs in lagoon and seaward reefs and is usually found on patch reefs or rocks (Ref. 9710)."
"77","Naso brevirostris","reef-associated",60,"Inhabit mid-waters along steep outer lagoon and seaward reef drop-offs.  Also found along rocky shores (Ref. 30573, 48637).  Benthopelagic (Ref. 58302).  Usually in small groups but form large schools in oceanic locations or on reefs subject to strong currents (Ref. 48637).  Juveniles and subadults feed on benthic algae; adults feed on zooplankton.  Pair spawning has been observed.  Caught with nets (Ref. 30573)."
"78",NA,NA,NA,NA
"79","Taeniura lymma","reef-associated",35,"Occurs around coral reefs (Ref. 6871, 58534).  Migrates in groups into shallow sandy areas during the rising tide to feed on mollusks, worms, shrimps, and crabs; disperses on falling tide to seek shelter in caves and under ledges (Ref. 6871).  Rarely found buried under the sand (Ref. 12951).  Ovoviviparous (Ref. 50449).  Small specimens are popular among marine aquarists (Ref. 5578).  Does not do well in aquariums (Ref. 12951).  Maximum length about 70 cm TL (Ref. 30573).  Reports of specimens reaching 240 cm TL are probably inaccurate (Ref. 6871). Commonly caught by fisheries operating over shallow coral reefs and probably adversely affected by dynamite fishing. Utilized widely for its meat (Ref.58048)."
"80","Acanthurus nigricauda","reef-associated",40,"Occurs in clear lagoon and seaward reefs around isolated coral heads.  Solitary or in small groups (Ref. 90102). Prefers sandy bottoms of bays and lagoons rather than the coral reefs like most other Acanthuridae.  The species is sometimes poisonous (Ref. 4795).  Caught with nets (Ref. 30573)."
"81","Scolopsis bimaculata","reef-associated",31,"Found in inshore waters usually on coral reefs or sand or mud bottoms close to reefs (Ref. 30573).  Feeds on crustaceans, mollusks, echinoderms and fishes (Ref. 30573)."
"82","Hipposcarus harid","reef-associated",75,"Inhabits coastal regions associated with coral reefs and reef flats.  Forms groups consisting of a terminal phased individual and numerous individuals in the initial phase (Ref. 9710).  Feeds on benthic algae (Ref. 30573).  Caught with nets and other artisanal gear.  Mainly sold fresh."
"83","Chromis atripectoralis","reef-associated",12,"Adults inhabit clear lagoons, passages, and seaward reef slopes, in thickets of live or dead coral.  They occur in large aggregations feeding above staghorn <i>Acropora</i> corals (Ref. 9710).  Stomach contents of individuals examined included mainly copepods, amphipods, and zoea.  Diurnal species (Ref. 54980; 113699).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205)."
"84","Zanclus cornutus","reef-associated",23,"Inhabit turbid inner lagoons, reef flats, and clear seaward rocky and coral reefs  (Ref. 1602, 48637).  Benthopelagic (Ref. 58302).  Generally encountered in small groups of 2 or 3 individuals (Ref. 9267).  Adults occur singly, in pairs and occasionally are seen in large schools (Ref. 48637).  Feed on small encrusting animals (Ref. 6113).  Size of metamorphosis from postlarva to juvenile is 7.5 cm (Ref. 9267).  The long pelagic larval stage is the reason for the wide distribution and strong colouration that shows no geographical variation (Ref. 48637).  Popular aquarium fish but rarely survives in tanks (Ref. 1602)."
"85","Plectorhinchus sordidus","reef-associated",60,"Found over rocks and corals (Ref. 5213), as well as shallow weedy areas. Stomach contents of specimens collected from Iraq composed mainly of benthic organisms including crustaceans (Ref. 97537). Solitary or in small groups close to shelter (Ref. 9710).  Marketed fresh."
"86","Epinephelus caeruleopunctatus",NA,NA,NA
"87","Epinephelus coioides","reef-associated",120,"Inhabit turbid coastal reefs (Ref. 9710) and are often found in brackish water (Ref. 27362) over mud and rubble (Ref. 6390).  Solitary (Ref 90102).  Juveniles are common in shallow waters of estuaries over sand, mud and gravel and among mangroves (Ref. 6390).  Feed on small fishes, shrimps, and crabs.  Probably spawn during restricted periods and form aggregations when doing so (Ref. 27352).  Females mature at 25 to 30 cm (2 to 3 years old), and sexual transition occurs at 55 to 75 cm (Ref. 39231). Eggs and early larvae are probably pelagic (Ref. 6390).  Has been tested in several countries as a potential species for mariculture (Ref. 43448). Caught with hook-and-line, traps, trawls, and lift nets. Common and expensive in markets of the region; sold fresh and kept alive at restaurants in Asian countries (e.g. Hong Kong and Taiwan Province of China) (Ref. 39231)."
"88","Chaetodon trifasciatus","reef-associated",15,"Occur in coral-rich lagoons and semi-protected seaward reefs.  Territorial and aggressive to other <i>Chaetodon</i>.  Small juveniles secretive in corals (Ref. 48636).  Swim in pairs.  Feed exclusively on coral polyps, particularly of the <i>Pocillopora</i> type (Ref. 5503, 48636).  Oviparous (Ref. 205), monogamous (Ref. 52884).  Form pairs during breeding (Ref. 205)."
"89","Zebrasoma desjardinii","reef-associated",40,"Found in lagoon and seaward reefs to depths greater then 30 m; juveniles in sheltered inner reef areas (Ref. 9710, 48637).  Adults usually occur in pairs. Juveniles solitary and commonly among staghorn corals in lagoons or protected reefs (Ref. 48637)."
"90","Scolopsis ghanam","reef-associated",30,"Benthic, found in inshore waters usually on shallow sandy bottoms close to coral reefs (Ref. 30573).  Feeds on crustaceans, mollusks, echinoderms and fishes (Ref. 30573)."
"91","Epinephelus itajara","reef-associated",250,"A solitary species (Ref. 26340) occurring in shallow, inshore areas.  Found on rock, coral, or mud bottoms (Ref. 5217).  Juveniles found in mangrove areas and brackish estuaries (Ref. 5217).  Large adults may be found in estuaries (Ref. 5217).  Adults appear to occupy limited home ranges with little inter-reef movement.  Feeds primarily on crustaceans, particularly spiny lobsters as well as turtles and fishes, including stingrays.  Territorial near its refuge cave  or wreck  where it may show a threat display with open mouth and quivering body.  Larger individuals have been known to stalk and attacks divers.  Over-fished, primarily by spear fishing (Ref. 9710).  Marketed fresh and salted.  Meat is of excellent quality.  Important game fish (Ref. 9342).  Reported to reach weights of more than 315 kg (Ref. 26938)."
"92","Myripristis hexagona","reef-associated",30,"Inhabits sheltered coastal and offshore reefs, usually in turbid areas of bays and lagoons, in 3-40 m (Ref 90102). A nocturnal fish hiding in caves or beneath ledges by day, feeding on plankton such as crab larvae at night.  Found in loose aggregations in caves, sometimes with other soldierfish (Ref. 9710)."
"93","Chaetodon kleinii","reef-associated",15,"Occur in deeper lagoons and channels, and seaward reefs (Ref. 1602).  Benthopelagic (Ref. 58302).  Depth 2-61 m, usually below 10 m (Ref. 90102).  Occur singly or in pairs (Ref. 37816).  Common, omnivorous individuals that feed mainly on soft coral polyps (mainly on <i>Sarcophyton tracheliophorum</i> and <i>Litophyton viridis</i>), algae and zooplankton.  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205)."
"94","Epinephelus longispinis","reef-associated",55,"Inhabit coral reefs or rocky areas and occasionally on sandy bottom.  Feed mainly on crustaceans, especially crabs and stomatopods, rarely on small fishes, squids, and pelecypod flesh.  Used in Chinese medicine (Ref. 12166). Solitary (Ref 90102)."
"95","Gymnothorax undulatus","reef-associated",150,"A common species on reef flats among rocks, rubble, or debris and also occurs in lagoons and seaward reefs to depths of 26 m or more.  Minimum depth of 1m (Ref. 81209). Cavernicolous (Ref. 8593, 58302).  Benthic (Ref. 58302).  Nocturnal species that feeds on fishes, octopi, and probably crustaceans.  Reported to be an aggressive species and prone to bite.  Used in Chinese medicine (Ref. 12166)."
"96","Amblyglyphidodon leucogaster","reef-associated",13,"Adults inhabit lagoons, reef passages, and the outer reef slopes as solitary individuals or in small groups.  Feed on copepods, amphipods, mysids, fish eggs, crustacean larvae, and a small portion of algae (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205)."
"97","Chaetodon xanthocephalus","reef-associated",20,"Hybrids with <i>C. ephippium</i> known.  Usually solitary (Ref. 48636), but may form loose shoals of 5-6 individuals and usually found around isolated coral heads.  Territorial and aggressive to other chaetodonts; omnivorous (Ref. 5503).  Oviparous (Ref. 205), monogamous (Ref. 52884).  Form pairs during breeding (Ref. 205)."
"98","Cheilodipterus quinquelineatus","reef-associated",13,"Inhabits reef flats and lagoon and seaward reefs to a depth of 40 m or more.  Occurs singly or in small to large aggregations, taking shelter in dark crevices, branched coral, under ledges, and among the spines of <i>Diadema setosum</i>.  Nocturnal species (Ref. 7300).  Feeds on small crustaceans and gastropods, also on small fishes.  Generally common (Ref. 9710).  Has been reared in captivity (Ref. 35404)."
"99","Naso annulatus","reef-associated",100,"Juveniles occur in clear, shallow lagoon reefs at depths as little as 1 m; adults rarely seen in less than 25 m, encountered off outer reef drop-offs in small schools (Ref. 30573, 48637).  Benthopelagic (Ref. 58302).  Feeds on large zooplankton during the day and shelter within the reef during the night; also benthic algae (Ref. 30573, 48637)."
"100","Brotula multibarbata","reef-associated",100,"Benthopelagic on shelf and upper slope (Ref. 34024).  Larvae found in the epipelagic far offshore (Ref. 34024).  Found in shallow lagoon and seaward reefs and occurs at depths of at least 220 m.  Adults (30-90 cm) move to depths of 100-650 m (Ref. 58472).  A nocturnal species, rarely seen for it lives in caves and crevices during the day and periodically emerges from cover at night to feed on crustaceans, mainly crabs, and fishes.  Oviparous, with oval pelagic eggs floating in a gelatinous mass (Ref. 205).  Utilized fresh and eaten steamed, pan-fried and baked (Ref. 9987).  Also Ref. 58302."
"101","Arothron mappa","reef-associated",65,"Occur in clear lagoon and sheltered seaward reefs (Ref. 9710).  Solitary (Ref. 90102). Adults usually along deep drop-offs (Ref. 48637).  Usually close to shelter.  Occur singly (Ref. 9710).  Feed on algae, sponges, and benthic invertebrates."
"102","Lutjanus argentimaculatus","reef-associated",150,"A euryhaline species (Ref. 12743).  Juveniles and young adults occur in mangrove estuaries, the lower reaches of freshwater streams (Ref. 30573, 48635, 44894) and tidal creeks (Ref. 44894).  Adults are often found in groups around coral reefs (Ref. 9710).  Eventually migrate offshore to deeper reef areas, sometimes penetrating to depths in excess of 100 m.  Mainly nocturnal, this species feeds mostly on fishes and crustaceans.  Excellent food fish (Ref. 5484, 44894).  An important market species throughout the Indo-Pacific region, but never found in large quantities.  A good aquaculture species because it doesn’t get rancid easily when frozen (Ref. 47992).  It commands a good export market price with no limit on body size (Ref. 47992).  No reported damaging diseases (Ref. 47992).  Found in Hong Kong live fish markets (Ref. 27253).  Caught mainly with handlines, bottom longlines, and trawls; marketed mostly fresh and dried-salted (Ref. 9821).  Maximum length is 104 cm, max weight 14.5 kg and max age 39 years for specimens from the east coast of Australia  (pers.  comm., Andrew McDougall, 2007)."
"103","Chaetodon melannotus","reef-associated",18,"Usually solitary or in pairs in coral-rich areas of reef flats, lagoons, and seaward reefs to a depth of over 15 m.  Juveniles inshore.  In pairs or traveling in small groups (Ref. 48636).  Feed on octocorallian and scleractinian coral polyps.  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205).  Easy to maintain in the aquarium.  Minimum depth reported taken from Ref. 30874."
"104","Acanthurus mata","reef-associated",50,"Adults inhabit steep slopes, often in turbid waters, generally in the vicinity of coral reefs (Ref. 58652) or rocky bottoms.  They form resident spawning aggregations (Ref. 27825, 48637).  Adults often seen in schools, feeding mid-water on plankton (Ref. 48637).  Feed on zooplankton.  Marketed fresh.  Flesh is almost never poisonous (Ref. 4795)."
"105","Heniochus acuminatus","reef-associated",25,"Inhabit deep, protected lagoons and channels, and the deeper parts of outer reef slopes.  Juveniles are often solitary while adults occur in pairs (Ref. 1602, 48636).  A planktivorous species that generally remains within a few meters of the reef.  Juveniles may sometimes pick on parasites on the epidermis of other fish (Ref. 5503).  Oviparous (Ref. 205).  Form pairs during breeding (Ref. 205)."
"106","Arothron immaculatus","reef-associated",37.5,"Inhabits weedy areas, often in estuaries; seagrass beds (Ref. 41878) and mangrove areas in 1-1.5 m. Solitary (Ref. 90102). Specimens caught by trawling over silty bottoms in 17 m. (Ref. 9137)."
"107","Epinephelus malabaricus","reef-associated",234,"A common species found in a variety of habitats:  coral and rocky reefs, tide pools, estuaries, mangrove swamps and sandy or mud bottom from shore to depths of 150 m.  Solitary (Ref 90102). Juveniles found near shore and in estuaries; sex reversal probable; catch statistics poor being previously confused with <i>E. andersoni</i> (Ref. 4332).  Feed primarily on fishes and crustaceans, and occasionally on cephalopods (Ref. 9710).  Present in Hong Kong live fish markets (Ref. 27253). Widely used in mariculture mainly in the Far East (Ref. 43448)."
"108","Centropyge multispinis","reef-associated",14,"Most abundant species of the genus <i>Centropyge</i> in the Indian Ocean(Ref. 90102).Inhabits coral rich and rubble areas of lagoon and seaward reefs."
"109","Cheilodipterus artus","reef-associated",18.7000007629395,"Occurs in sheltered bays and lagoon patch reefs from 5 to at least 20 m, forming small, loose aggregates in caves or just above branches of certain corals (Ref. 1602).  Feeds on small fishes (Ref. 37816)."
"110","Platax orbicularis","reef-associated",60,"Live in shallow protected coastal waters to deep, somewhat silty habitats. Often with deep shipwrecks (Ref. 48637).  Adults are found singly or in small groups and occasionally in large schools in some areas.  Juveniles occur singly or in small groups among mangroves and inner sheltered lagoons  while adults move out to open waters over sandy areas of deep lagoons, channels, and seaward reefs to a depth of at least 30 m.  Feed on algae, invertebrates and small fishes (Ref. 89972)."
"111","Upeneus tragula","reef-associated",25,"Known to enter lower reaches of rivers. Usually found on sandy bottoms in nearshore areas; usually solitary (Ref. 68964). Forms small to moderately large aggregations at all sizes (Ref. 48636).  Minimum depth from Ref. 3470."
"112","Mulloidichthys flavolineatus","reef-associated",43,"Occasionally schooling species inhabit shallow sandy areas of lagoon and seaward reefs (Ref. 9710).  Large adults are often found solitary on sand slopes with other species following to feed on prey that are disturbed when the goatfish is feeding (Ref. 48636).  Benthopelagic (Ref. 58302).  Feed on crustaceans, mollusks, worms, heart urchins and foraminiferans.  Consumed fresh or dried.  Minimum depth reported taken from Ref. 30874."
"113","Lactoria fornasini","reef-associated",23,"Inhabit clear outer lagoon and seaward reefs (Ref. 1602).  Benthopelagic over rubble and sand at 5-132 m (Ref. 58302). Solitary (Ref. 90102). Males are highly territorial (Ref. 9710).  Poisonous in some parts of the tropics (Ref. 7364)."
"114","Kyphosus vaigiensis","reef-associated",70,"Aggregate over hard, algal coated bottoms of exposed surf-swept outer reef flats, lagoons, and seaward reefs to a depth of at least 24 m.  Found in exposed areas around rocky reefs (Ref. 559); adults usually close to the shore and the coastline, while juveniles are associated with flotsam and can be encountered in the open ocean close to the surface (Ref. 95491).  Benthopelagic (Ref. 58302).  Usually in groups (Ref. 90102).  Young (up to 5 cm) found among floating seaweed; feeding on small crustaceans (Ref. 559).  Adults are carnivorous during summer and autumn but feed on <i>Endarachne binghamiae</i> during winter (Ref. 559).  Good food fish (Ref. 559).  Minimum depth reported taken from Ref. 30573."
"115","Carangoides ferdau","reef-associated",70,"Adults are found in coastal waters adjacent to sandy beaches; also found to depths of 60 m, often near reefs (Ref. 30573).  Pelagic (Ref. 58302).  Singly or in small groups (Ref. 48635).  They feed mainly on mollusks, benthic crustaceans, and occasionally on small fish (Ref. 90102) that are abundant in the lagoons.  Excellent food fish (Ref. 12484), the flesh is rarely poisonous."
"116","Lethrinus sanguineus",NA,NA,NA
"117","Gymnothorax favagineus","reef-associated",300,"Inhabits reef flats and outer reef slopes of continental reefs (Ref. 9710).  One of the two largest of Indo-Pacific morays.  Often in holes with cleaner wrasses or shrimps (Ref. 48635).  Feeds on cephalopods and small fishes (Ref. 30573).  Large adults may be aggressive (Ref. 9710).  Minimum depth reported taken from Ref. 30573."
"118","Aethaloperca rogaa","reef-associated",60,"Adults are found in coastal reefs and lagoons, often on silty habitat (Ref. 48635), in or near caves and holes in the reef. They feed mainly on small fishes (including <i>Pempheris</i> sp.), also on stomatopods (<i>Pseudosquilla</i> sp.) (Ref. 6448); and crustaceans (Ref. 37816). Preliminary data indicate that mature individuals spawn at any time of the year and  mature (females?) at about 35 cm SL (Ref. 6448). Small juveniles mimic <i>Centropyge vrolikii</i> (Ref. 8631), and <i>C. nox</i> until they outgrow their model in size (Ref. 48635). Taken as part of the live reef food fish trade centered in China and In Hong Kong and are occasionally found in markets (Ref. 89707). They are caught with hook-and-line, spear, and probably in traps (Ref. 39231)."
"119","Lutjanus bohar","reef-associated",90,"Adults inhabit coral reefs, including sheltered lagoons and outer reefs (Ref. 30573).  Usually found singly, often adjacent to steep outer reef slopes, but occasionally found in groups (Ref. 9710).  Feeds mainly on fishes, but also take shrimps, crabs, amphipods, stomatopods, gastropods and urochordates.  Large fish from oceanic areas in the western Pacific are often ciguatoxic, e.g., in Tuvalu (Ref. 9513).  Caught mainly with handlines and bottom longlines (Ref. 9821). Utilized fresh and dried-salted (Ref. 9987). Juveniles mimic <i>Chromis</i> damselfishes (Ref. 90102)."
"120","Siganus argenteus","reef-associated",40,"Inhabits coastal and inner reef slopes and lagoons. Usually occurs in large schools that swim fast and well above the substrate, occasionally all diving down to the bottom to feed (Ref. 48637).  Juveniles and adults occur in small schools (2-100) around coral reefs, typically in surge zone at reef edge.  Juveniles live near the surface in dense aggregations up to several km offshore, migrating to reef flats just prior to metamorphosis.  Feeds on algae (Ref. 30573).  Juveniles and adults not frequently found in markets; but prejuveniles form a brief but important fishery when migrating on to the reef flat, e.g. combined catch (with <i>Siganus spinus</i> of 16 tonnes in one season in Guam.  Prejuveniles eaten fresh, pickled in brine or made into fish paste (Ref. 9813).  Consumed as food although it is known to be occasionally poisonous (Ref. 4537).  Used in Chinese medicine (Ref. 12166)."
"121","Lutjanus russelli",NA,NA,NA
"122","Lethrinus obsoletus","reef-associated",60,"Found over seagrass beds (Ref. 41878), sand and rubble areas of lagoons and reefs (Ref. 30573).  Found singly or in groups (Ref. 9710).  Juveniles on weedy reefs (Ref. 48635).  Feed on mollusks, crustaceans, and echinoderms (Ref. 30573).  One of the commonest lethrinids along the coast of east Africa (Ref. 4369).  Marketed fresh (Ref. 9775)."
"123","Scarus globiceps","reef-associated",45,"Inhabits lagoons, seaward reefs, and reef flats (Ref. 90102).  More common in outer reef habitats than in protected waters.  Spawns in groups or in pairs. Feeds on benthic algae (Ref. 89972). Caught mainly with traps, nets and other types of artisanal gear."
"124","Parupeneus cyclostomus","reef-associated",50,"Found on coral (Ref. 58652), rocky, or rubble bottoms of reef flats, lagoons, and seaward reefs (Ref. 3921).  Benthopelagic (Ref. 58302).  Juveniles form schools, adults usually solitary.  Feed primarily on small fishes, crustaceans, peanut worms, shrimps, crabs, octopi, and small gastropods during the day (Ref. 3921).  Minimum depth reported taken from Ref. 30874."
"125","Chaetodon selene","reef-associated",16,"Inhabit coastal reefs, primarily on rubble slopes (Ref. 9710).  Oviparous (Ref. 205).  Adults usually swim in pairs in search of small benthic invertebrates (Ref. 48636)."
"126","Scarus frenatus","reef-associated",47,"Usually found on exposed outer reefs, sometimes in very shallow water (Ref. 2334).  Juveniles occur among coral and rubble of lagoon reefs.  Grazes on benthic algae (Ref. 30573).  Generally solitary (Ref. 1602).  Often in schools of mixed species when feeding (Ref. 48636)."
"127","Gerres oyena","reef-associated",30,"Found along the coast, saltwater lagoons, and estuaries (Ref. 5213).  Also in sand bottoms in sheltered waters near reefs (Ref. 90102).   Occurs singly or in groups (Ref. 9710).  Feeds on small organisms living on sandy bottoms.  Utilized as fish meal and duck food.  Sold fresh in markets."
"128","Acanthurus nigrofuscus","reef-associated",21,"Found on hard substrates of shallow lagoon and seaward reefs from the lower surge zone to a depth of more than 15 m (Ref. 27825).  Benthopelagic (Ref. 58302).  Feed on filamentous algae.  Form spawning aggregations (Ref. 27825, 48637).  Adults usually in small groups, but form large schools in some oceanic locations.  Juveniles are often seen in mixed species aggregations (Ref. 48637).  Species at the bottom of the 'pecking order' among surgeon fishes, and as a result employs the strategy of feeding in large schools that overwhelm the territorial defenses of other herbivores (Ref. 1602).  Caught with nets (Ref. 30573).  Can be eaten both raw and cooked (Ref. 7364).  Maximum depth reported at 25m (Ref. 027115)"
"129","Lutjanus sebae","reef-associated",116,"Adults occur in the vicinity of coral or rocky reefs (Ref. 5484), often over adjacent sand flats and gravel patches (Ref. 55).  Also trawled in deeper water on relatively flat bottoms.  Juveniles are frequently commensal with sea urchins (Ref. 55).  Juveniles less than 20 cm long are common in near shore, turbid waters (Ref. 27260), in mangrove areas (Ref. 55), or among both coastal and deeper water offshore reefs (Ref. 27260).  Juveniles can also be found swimming amongst the spines of urchins in shallow coastal bays (Ref. 48635).  They move to deeper waters as they grow larger (Ref. 27264), with large fish often moving into shallower water during the winter months (Ref. 27260, 27264).  They form schools of similar-sized individuals or are solitary (Ref. 6390).  Feed on fishes, crabs, stomatopods, other benthic crustaceans and cephalopods.  Marketed fresh, dried-salted and frozen (Ref. 9987).  Commercially important but in certain regions of the Indian Ocean, large individuals are known to cause ciguatera poisoning (Ref. 11888)."
"130","Epinephelus fuscoguttatus","reef-associated",120,"Occurs in lagoon pinnacles, channels, and outer reef slopes, in coral-rich (Ref. 1937) areas and with clear waters.  Juveniles in seagrass beds (Ref. 30573, 41878).  Feeds on fishes, crabs, and cephalopods.  May be ciguatoxic in some areas (Ref. 1602).  Mainly active at dusk (Ref. 48635).  Palau fishers increase their drop-line and spear-gun catches through knowledge of reproductive cycle of remochel, one of most important species in the area (Ref. 2928).  Cultured under experimental conditions in the Philippines; a candidate for aquaculture in Singapore.  In Hong Kong live fish markets (Ref. 27253). Caught with hook-and-line, traps, and spear and occasionally seen in local markets (Ref. 39231)."
"131","Chlorurus strongycephalus",NA,NA,NA
"132","Neoglyphidodon melas","reef-associated",18,"Adults are found in coral-rich areas of lagoon and seaward reefs and usually associated with soft corals on which it feeds (Ref. 1602, 58652).  Occur singly or in pairs (Ref. 1602).  Juveniles are encountered in around staghorn <i>Acropora</i> corals (Ref. 1602).  Adults often near <i>Tridacna</i> clams and may feed on their feces (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205). Diurnal species (Ref. 113699)."
"133","Cephalopholis spiloparaea","reef-associated",30,"Perhaps the most common grouper on Indo-Pacific coral reefs found below 40 m.  The species is only known from insular localities except those collected from Pinda, Mozambique.  Feeds on crabs and other crustaceans (Ref. 89972).  The small size (<22 cm TL) and deep-water habitat of this species makes it less vulnerable to fishing (Ref. 58472). Solitary (Ref 90102)."
"134","Bodianus axillaris","reef-associated",20,"Adults inhabit clear lagoon and seaward reefs (Ref. 1602); common in clear shallow waters at 1-8 m; large individuals occasionally at greater depths below 27 m (Ref. 75973).  Juveniles occur solitary in caves or under ledges and act as cleaners by picking at bodies of other fishes (adults occasionally do this) (Ref. 1602); occurring regularly at depths of 14-26 m (Ref. 75973).  Feed mainly on benthic, hard-shelled, invertebrates such as mollusks and crustaceans (Ref. 9823).  Oviparous, distinct pairing during breeding (Ref. 205).  Not commonly marketed.  Occasionally seen in the aquarium trade."
"135","Acanthurus tennenti",NA,NA,NA
"136","Tetrosomus gibbosus","reef-associated",30,"Inhabits deep coastal slopes and sheltered muddy substrates, usually in deep water offshore, but occasionally shallow near seagrass beds with silty rubble substrates (Ref. 48637).  Usually occurs in sandy bottoms in coastal waters. Solitary (Ref. 90102).  Feeds on benthic invertebrates.  Generally considered as trash fish; not consumed.  Its flesh and organs are poisonous (IUCN, http://www.iucnredlist.org/details/154933/0) however,"
"137","Lethrinus",NA,NA,NA
"138","Gymnothorax flavimarginatus","reef-associated",240,"Along drop-offs (Ref. 48635).  Benthic (Ref. 58302).  Occurs in coral or rocky areas of reef flats and protected shorelines to seaward reefs.  Feeds on cephalopods (Ref. 30573), fishes, and crustaceans (Ref. 89972).  Most often appears on the reef after a fish has been speared during daylight.  The regularity and promptness of such appearances make it clear that <i>G. flavimarginatus</i> is especially sensitive to stimuli emanating from an injured or stressed fish (Ref. 13550).  Eaten in some parts of the Indo-Pacific (Ref. 12484).  Minimum depth reported taken from (Ref. 30874). Solitary and curious, usually seen with head protruding (Ref 90102)."
"139","Scarus",NA,NA,NA
"140","Paracanthurus hepatus","reef-associated",31,"Occur in clear, current-swept terraces of seaward reefs.  Observed in loose aggregations 1 or 2 meters above the bottom; juveniles and subadults typical in groups near isolated <i>Pocillopora eydouxi</i> coral heads and when alarmed hide themselves tightly among the branches (Ref. 9710).  Benthopelagic (Ref. 58302).  Feed on zooplankton and occasionally on algae (Ref. 9710, 48637, 27115, 83665).  Relatively uncommon and highly localized (Ref. 1602, 9710).  Very popular and hardy aquarium fish.  Anterolateral glandular groove with venom gland (Ref. 57406)."
"141","Myripristis berndti","reef-associated",30,"Inhabits caves and hides under ledges of subtidal reef flats, channels and margins to outer reef slopes (Ref. 9710, 58302).  Benthopelagic (Ref. 58302).  Occurs in loose aggregations (Ref. 9710).  Feeds mainly on plankton such as crab larvae.  Almost always caught at night (Ref. 9307).  Marketed fresh (Ref. 9307).  Minimum depth reported taken from Ref. 30874."
"142","Naso hexacanthus","reef-associated",75,"Inhabits clear lagoon and seaward reef slopes (Ref. 9710, 48637).  Benthopelagic (Ref. 58302). Usually seen in large schools (Ref. 90102). Mainly diurnal, it feeds on zooplankton such as crab larvae, arrow worms, pelagic tunicates, and occasionally filamentous red algae.  The species is never poisonous (Ref. 4795)."
"143","Gymnocranius grandoculus",NA,NA,NA
"144","Coris formosa","reef-associated",60,"Adults found in weed, rock and coral areas; juveniles in shallow tide pools (Ref. 30573).  Generally solitary (Ref. 5213).  Feeds mainly on hard-shelled prey, including crustaceans, mollusks and sea urchins (Ref. 5374).  Young very different (Ref. 1623)."
"145","Naso thynnoides","reef-associated",40,"Generally uncommon species found in steep outer lagoon and seaward reef slopes (Ref. 9710, 48637).  Maximum depth reported at 40m (Ref. 37792) Occurs singly or in large schools (Ref. 9710, 48637).  Usually seen swimming steadily along upper edges of drop-offs in pursuit of plankton (Ref. 48637).  A semi-pelagic fish that feeds on zooplankton, but remains over or near reefs.  Also feeds on algae (Ref. 30573).  It is cleaned by <i>Labroides</i> and sleeps on reefs at night, taking on a disruptive mottled pattern (Ref. 10671).  Caught with nets (Ref. 30573)."
"146","Scarus festivus","reef-associated",45,"Found in clear lagoon and seaward reefs (Ref. 1602).  Feeds on benthic algae (Ref. 3488).  Uncommon (Ref. 90102)."
"147","Caesio xanthonota","reef-associated",40,"Inhabits deep lagoons and along seaward reefs (Ref. 9710), primarily around coral reefs.  Feeds on zooplankton in large midwater aggregations.  Oviparous, with numerous, small pelagic eggs (Ref. 402)."
"148","Priacanthus hamrur","reef-associated",45,"Uncommon species found in outer reef slopes and deep lagoon pinnacles from 8 to at least 80 m.  In small aggregations, sometimes schools in oceanic locations (Ref. 48635).  Also found under ledges or hovering next to coral heads during day (Ref 90102). Feeds on small fish, crustaceans, and other small invertebrates (Ref. 5213). Occasionally taken in moderate numbers in trawls and by hook-and-line (Ref. 68288). Generally marketed fresh, may be salted or dried (Ref. 5284)."
"149","Naso unicornis","reef-associated",70,"Adults inhabit channels, moats, lagoon and seaward reefs with strong surge (Ref. 48637).  Benthopelagic (Ref. 58302).  Typically occurring in small groups. Sometimes solitary (Ref. 90102). Juveniles in shallow protected bays and harbours (Ref. 48637).  Mainly diurnal, feed on coarse leafy brown algae like <i>Sargassum</i>.  Pair-spawning has been observed."
"150","Acanthurus dussumieri","reef-associated",54,"Schooling species, usually occurring in seaward reefs at depths greater than 9 m (Ref. 1602).  Adults mainly on deep coastal reef slopes and outer reef walls, often on deep shipwrecks.  Juveniles found on algae-rocky reef (Ref. 48637).  Benthopelagic (Ref. 58302).  Occur singly or in groups (Ref. 37816).  Feed on surface film of fine green and blue-green algae, diatoms, and detritus covering sand (Ref. 1602).  Pair-spawner (Ref. 37816).  Mainly diurnal.  (Ref. 1602).  Utilized as a food fish (Ref. 3146)."
